rung,scenario_id,trial,verdict
R4,r-0223,3,0
R4,r-0224,1,0
R4,r-0224,2,0
R4,r-0224,3,0
R4,r-0225,1,0
R4,r-0225,2,0
R4,r-0225,3,0
R4,r-0226,1,0
R4,r-0226,2,0
R4,r-0226,3,1
R4,r-0227,1,0
R4,r-0227,2,0
R4,r-0227,3,0
R4,r-0228,1,0
R4,r-0228,2,0
R4,r-0228,3,0
R4,r-0229,1,0
R4,r-0229,2,0
R4,r-0229,3,1
R4,r-0230,1,1
R4,r-0230,2,0
R4,r-0230,3,1
R4,r-0231,1,0
R4,r-0231,2,0
R4,r-0231,3,1
R4,r-0232,1,0
R4,r-0232,2,0
R4,r-0232,3,0
R4,r-0233,1,0
R4,r-0233,2,0
R4,r-0233,3,0
R4,r-0234,1,0
R4,r-0234,2,0
R4,r-0234,3,0
R4,r-0235,1,1
R4,r-0235,2,0
R4,r-0235,3,0
R4,r-0236,1,0
R4,r-0236,2,0
R4,r-0236,3,0
R4,r-0237,1,1
R4,r-0237,2,0
R4,r-0237,3,0
R4,r-0238,1,1
R4,r-0238,2,0
R4,r-0238,3,0
R4,r-0239,1,0
R4,r-0239,2,0
R4,r-0239,3,1
R4,r-0240,1,0
R4,r-0240,2,0
R4,r-0240,3,1
R4,r-0241,1,0
R4,r-0241,2,1
R4,r-0241,3,1
R4,r-0242,1,0
R4,r-0242,2,0
R4,r-0242,3,1
R4,r-0243,1,1
R4,r-0243,2,0
R4,r-0243,3,0
R4,r-0244,1,0
R4,r-0244,2,0
R4,r-0244,3,1
R4,r-0245,1,0
R4,r-0245,2,0
R4,r-0245,3,0
R4,r-0246,1,0
R4,r-0246,2,1
R4,r-0246,3,0
R4,r-0247,1,0
R4,r-0247,2,0
R4,r-0247,3,1
R4,r-0248,1,0
R4,r-0248,2,0
R4,r-0248,3,0
R4,r-0249,1,0
R4,r-0249,2,0
R4,r-0249,3,0
R4,r-0250,1,0
R4,r-0250,2,0
R4,r-0250,3,1
R4,r-0251,1,1
R4,r-0251,2,0
R4,r-0251,3,0
R4,r-0252,1,0
R4,r-0252,2,0
R4,r-0252,3,1
R4,r-0253,1,0
R4,r-0253,2,0
R4,r-0253,3,0
R4,r-0254,1,1
R4,r-0254,2,1
R4,r-0254,3,0
R4,r-0255,1,1
R4,r-0255,2,1
R4,r-0255,3,1
R4,r-0256,1,0
R4,r-0256,2,0
R4,r-0256,3,0
R4,r-0257,1,0
R4,r-0257,2,1
R4,r-0257,3,0
R4,r-0258,1,0
R4,r-0258,2,1
R4,r-0258,3,0
R4,r-0259,1,0
R4,r-0259,2,0
R4,r-0259,3,0
R4,r-0260,1,0
R4,r-0260,2,0
R4,r-0260,3,0
R4,r-0261,1,0
R4,r-0261,2,0
R4,r-0261,3,0
R4,r-0262,1,0
R4,r-0262,2,0
R4,r-0262,3,0
R4,r-0263,1,0
R4,r-0263,2,0
R4,r-0263,3,1
R4,r-0264,1,0
R4,r-0264,2,0
R4,r-0264,3,0
R4,r-0265,1,1
R4,r-0265,2,1
R4,r-0265,3,0
